               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.022035,            0.017502,                   0,             0.72252,             0.72424,             0.76057,             0.47724,            0.036696,            0.018563,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.021518,            0.017583,                   0,             0.79374,             0.69394,             0.77532,             0.48954,            0.036316,            0.017817,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.021508,            0.016963,                   0,             0.76775,              0.7303,             0.77898,             0.48491,            0.037118,            0.018144,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.021135,            0.017384,                   0,             0.78473,             0.70696,             0.77657,             0.48505,            0.036793,            0.018139,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021635,            0.017534,                   0,             0.80507,             0.68182,             0.77209,             0.47738,            0.037431,            0.018354,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.020435,            0.015848,                   0,             0.82941,              0.6697,             0.78281,             0.48617,            0.037514,            0.018071,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021173,            0.016237,                   0,             0.83133,             0.68485,             0.78513,             0.49083,             0.03696,            0.017873,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.021278,            0.016237,                   0,             0.82134,             0.69656,             0.78685,             0.49742,            0.036606,            0.017766,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.020949,            0.016131,                   0,             0.81705,             0.69697,             0.78164,             0.48732,            0.036764,            0.018038,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.020838,            0.015786,                   0,             0.82712,             0.66691,             0.77954,             0.49028,            0.036597,            0.018148,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.020592,            0.016655,                   0,             0.82884,             0.68968,              0.7806,             0.48855,            0.036888,            0.018426,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.020414,            0.015159,                   0,              0.8024,             0.70606,             0.77924,             0.48355,            0.037061,              0.0183,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.020269,            0.016346,                   0,             0.81119,             0.69002,             0.77885,             0.48982,            0.036296,            0.018197,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.02047,            0.015461,                   0,              0.8312,             0.67576,              0.7689,             0.48495,            0.036863,            0.018737,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.020376,            0.016597,                   0,             0.81312,             0.71199,             0.78632,             0.49511,            0.036003,            0.018372,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.02059,             0.01671,                   0,             0.78352,             0.72386,             0.78727,             0.49405,            0.036273,            0.018453,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.019593,            0.015402,                   0,             0.78097,             0.72121,             0.78755,             0.49685,            0.036311,             0.01836,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.020274,            0.015468,                   0,             0.81283,             0.70606,             0.78783,             0.49659,            0.036534,             0.01841,                   0,            0.000298,            0.000298,            0.000298
